Run#, Rate rad(Si)/s, Dose rad(Si), Duration Time, Measure Dose rad(Si) (+3%), Cummulative Dose rad(Si), Time on, (seconds), 
1,75,10000,0:02:18,10350,10350,1147,138,
2,75,10000,0:02:18,10350,20700,1150,138,
3,75,10000,0:02:18,10350,31050,1152,138,
4,75,10000,0:02:18,10350,41400,1155,138,
5,75,10000,0:02:18,10350,51750,1158,138,
6,75,10000,0:02:18,10350,62100,1201,138,
7,75,10000,0:02:18,10350,72450,1204,138,
8,75,10000,0:02:18,10350,82800,1207,138,
9,75,10000,0:02:18,10350,93150,1212,138,Pulled up at 60s
10,75,10000,0:02:18,10350,103500,1216,138,Stopped at 90s
