Run#, Rate rad(Si)/s, Dose rad(Si), Duration Time, Measure Dose rad(Si) (+3%), Cumulative Dose rad(Si), Time on, (seconds), Notes 
1,75,1000,0:00:14,1050,1050,1037,14,
2,75,1000,0:00:14,1050,2100,1037,14,
3,75,1000,0:00:14,1050,3150,1038,14,
4,75,1000,0:00:14,1050,4200,1039,14,
5,75,1000,0:00:14,1050,5250,1040,14,
6,75,1000,0:00:14,1050,6300,1040,14,
7,75,1000,0:00:14,1050,7350,1041,14,
8,75,1000,0:00:14,1050,8400,1041,14,
9,75,1000,0:00:14,1050,9450,1042,14,
10,75,1000,0:00:14,1050,10500,1042,14,
11,75,1000,0:00:14,1050,11550,1043,14,
12,75,1000,0:00:14,1050,12600,1043,14,
13,75,1000,0:00:14,1050,13650,1044,14,
14,75,1000,0:00:14,1050,14700,1044,14,
15,75,1000,0:00:14,1050,15750,1045,14,
16,75,1000,0:00:14,1050,16800,1045,14,
17,75,1000,0:00:14,1050,17850,1046,14,
18,75,1000,0:00:14,1050,18900,1047,14,
19,75,1000,0:00:14,1050,19950,1047,14,
20,75,1000,0:00:14,1050,21000,1048,14,
21,75,1000,0:00:14,1050,22050,1048,14,
22,75,1000,0:00:14,1050,23100,1049,14,
23,75,1000,0:00:14,1050,24150,1049,14,
24,75,1000,0:00:14,1050,25200,1050,14,
25,75,1000,0:00:14,1050,26250,1050,14,
26,75,1000,0:00:14,1050,27300,1051,14,
27,75,1000,0:00:14,1050,28350,1051,14,
28,75,1000,0:00:14,1050,29400,1052,14,
29,75,1000,0:00:14,1050,30450,1052,14,
30,75,2500,0:00:35,2625,33075,1054,35,
31,75,2500,0:00:35,2625,35700,1055,35,
32,75,2500,0:00:35,2625,38325,1056,35,
33,75,2500,0:00:35,2625,40950,1056,35,
34,75,2500,0:00:35,2625,43575,1057,35,
35,75,2500,0:00:35,2625,46200,1058,35,
36,75,2500,0:00:35,2625,48825,1059,35,
37,75,2500,0:00:35,2625,51450,1100,35,
38,75,5000,0:01:09,5175,56625,1101,69,
39,75,5000,0:01:09,5175,61800,1102,69,
40,75,5000,0:01:09,5175,66975,1103,69,
41,75,5000,0:01:09,5175,72150,1104,69,
42,75,5000,0:01:09,5175,77325,1105,69,
43,75,5000,0:01:09,5175,82500,1106,69,
44,75,5000,0:01:09,5175,87675,1109,69,
45,75,5000,0:01:09,5175,92850,1111,69,
46,75,5000,0:01:09,5175,98025,1113,69,
47,75,5000,0:01:09,5175,103200,1115,69,
48,75,10000,0:02:18,10350,113550,1119,138,
49,75,10000,0:02:18,10350,123900,1121,138,1 device pulled
50,75,10000,0:02:18,10350,134250,1128,138,
51,75,10000,0:02:18,10350,144600,1131,138,
52,75,10000,0:02:18,10350,154950,1134,138,
