Timestamp, Bytes Received
2025-12-15 16:24:03.817801, 0
2025-12-15 16:24:10.970571, 14656
2025-12-15 16:24:16.011013, 22336
2025-12-15 16:24:21.070596, 30400
2025-12-15 16:24:26.130601, 38592
2025-12-15 16:24:31.190922, 46272
2025-12-15 16:24:36.251342, 53952
2025-12-15 16:24:41.333406, 60544
2025-12-15 16:24:46.396898, 68352
2025-12-15 16:24:51.437322, 75776
2025-12-15 16:24:56.487584, 85120
2025-12-15 16:25:01.547432, 92928
2025-12-15 16:25:06.601055, 100736
2025-12-15 16:25:11.677521, 108480
2025-12-15 16:25:16.739160, 116160
2025-12-15 16:25:21.769805, 131456
